id,panoid,lat,lon,year
112,BMpLFODed2fk8gSHtMAbkw,47.68027289,-122.3201959,2019
113,FsuAcPL_6pF3roTHPfZIlQ,47.68074038,-122.3202339,2019
114,ozaTrXlpAasBTuVsXcLYoA,47.68126646,-122.3201519,2019
115,_JewsxBPrfhW7n4_AlnuNQ,47.6815553,-122.3198433,2019
116,IBIK7Tq93SPiDxfF6ug3MA,47.67034514,-122.3217337,2019
117,nRTRsjbCKUeyvri99k51Aw,47.67085485,-122.321682,2019
118,-ToFkjr5S7XwM-5CfFfsRA,47.67129849,-122.3216139,2019
119,KAAvIEGiOI6cOTWvvxgJtg,47.67181825,-122.321509,2019
120,#NAME?,47.67226147,-122.321396,2019
121,aSQujp43gS8qXdCKsYe4sw,47.67277353,-122.3212398,2019
122,7MYBdvYMFhU_uYA70mDsYA,47.67327769,-122.3210681,2019
123,msIMN6NgZ5Je2TT8GzSkQA,47.6737715,-122.3208931,2019
124,4L_HG-zqTkh7gU1kbbfsUg,47.67419043,-122.320747,2019
125,OlKklP8SJAM7RxHY3TW2_A,47.67468363,-122.3206035,2019
126,zYzvFiCGE3-YQ7PfgM7Cug,47.67518236,-122.3205059,2019
127,pFPCi2UdSaVeUFWwBDd0vQ,47.67568398,-122.32044,2019
128,OrfyT26A7RxCLe9adt11SA,47.67618154,-122.3203901,2019
129,rrE1nLldYMylAZbP8J_8tg,47.6766662,-122.3204401,2019
130,ddS0prDanc48RpJj92djXw,47.67716204,-122.3203498,2019
131,ft0m-vFiTjpa5aI2hGos9Q,47.61838967,-122.2894529,2019
132,DC5ilWmt1WzhWZJ3M5ZplA,47.61839755,-122.2890541,2018
133,ORLMSJwWMZ1bEKnutOGs8A,47.61843431,-122.2887988,2019
134,ltsbBS5UaG74_FaNeM4MHw,47.61835447,-122.2877855,2019
135,Psm65tYZ_RUqUV6oB11mPw,47.61832629,-122.2884371,2019
136,kLlH7mTpW9jd2l48YVF5jA,47.5418539,-122.2753884,2019
137,ixDct7h2RJR8dmrFuoHNLQ,47.5423686,-122.2753691,2019
138,HKPY3gbbdfjitNC3ZgaeLg,47.54245801,-122.2761668,2019
139,lou0wV4maOMg6G03y04j8Q,47.54245674,-122.2756554,2019
140,BKw5ELxIgr8mksTqYP2RyQ,47.54314409,-122.2753967,2019
141,G13HLo9YZCDBgBSMSeKwZQ,47.54261178,-122.2753963,2019
142,WEg7ZHTaop_c-VrLLK8u4g,47.54246443,-122.2731122,2019
143,QF3yIVJdpDq8Rv39imi48g,47.54249258,-122.2737376,2019
144,SP2U82wyZEcgfXYFhkZhKQ,47.54249292,-122.274136,2019
145,fKtCdspdyDvLzx0uKY-XHw,47.5424874,-122.2746785,2019
146,ioDSVCXSC0K7QWHSM0aiFw,47.54248816,-122.2751951,2019
147,9Vf8F-QVf-1sfzMOmRRWjA,47.68844115,-122.2877364,2019
148,utjwQBNYjASqW-WAvPDtqw,47.68845935,-122.2882621,2019
149,hHm5X_mF8d-iIBv_Tzz1Aw,47.68898022,-122.2884958,2019
150,jzj1V2P2asQ1O6OTADYDew,47.68862862,-122.2884731,2019
151,UqHd_Th5wc_G0qs9iVW7Gg,47.58181908,-122.3787996,2019
152,296rViYBcfcZl4DEWamyfw,47.58181935,-122.3782764,2019
153,L2jKXJJFoEjjxVUx67rUNA,47.64052756,-122.4008082,2019
154,f09dLijXiPRDymKlSqFmjA,47.64054553,-122.4003277,2019
155,sFDSefI2fqYKxIy-7ehkNQ,47.64052907,-122.3999273,2019
156,eHqqJFa4dnkfpiiy-yu0qQ,47.64052555,-122.3986687,2019
157,pJINbaTZFha5SNLg3WQaOQ,47.64052551,-122.3991228,2019
